state,year,01_PDSI,02_PDSI,03_PDSI,04_PDSI,05_PDSI,06_PDSI,07_PDSI,08_PDSI,09_PDSI,10_PDSI,11_PDSI,12_PDSI
California,2021,-2.9327032166982057,-2.9228734899353497,-3.188426442349308,-3.601930862016758,-4.110781866147139,-4.416472557611793,-4.354961790172386,-4.015398536270206,-3.740578072109138,-3.457717328629831,-2.122723936950404,-1.754336537830591
California,2022,-1.05795270304414,-1.458676222476567,-2.241677499874633,-2.852470634323313,-2.899684262890397,-2.9950480261001418,-2.8198072099069376,-2.527616614171772,-2.1264446321523125,-1.6776541933399185,-1.6376238606506457,-1.2419783917197385
California,2023,0.0533526802829662,0.7744381328457558,1.0454135318994642,2.2442384512854257,2.2677404826773078,2.120460818989104,1.8628066789633413,1.6321460987002052,3.0172112263866566,3.0019522884263194,2.344098558258998,1.4351821876386917
California,2024,0.8403019909174465,1.1625107084687178,1.4923183000427491,1.5982248257033873,1.7049024933472487,1.3713013913262275,0.8459715333966754,0.4872418640489936,0.3527852317447436,-0.0768317653618909,-0.6167161445987209,-0.5169819438485956
California,2025,-0.9314622895594512,-1.2819469271440622,-1.1932978529160103,-1.210815209485541,,,,,,,,
Illinois,2021,1.627065281933428,1.556018266157005,1.40440970717398,1.348556026140242,1.0389645199637734,0.7857564138224016,1.0973074853099565,1.6628410151424986,1.6792142854231458,1.5808374282795383,2.0914351396557755,1.7050562237478908
Illinois,2022,1.3350557336499982,1.1152143485670234,1.3242703449424382,1.7231209605419282,1.8290368672834096,1.483003389650302,1.1060964167435945,1.378847991679648,1.334201153177213,0.8715079463037053,0.1789611622547884,-0.4927538956165893
Illinois,2023,-0.737080385188778,-0.7648364579018969,-0.4442735657572898,0.0184969570614296,-0.3537108517085151,-1.2067367267983624,-1.7905076348713354,-1.5571055603927138,-1.62271854967232,-1.898923140776233,-2.051300834332446,-2.5138916088619183
Illinois,2024,-2.4834339254862057,-1.92435410813307,-2.3136664761634997,-2.0942699083133824,-1.6537252348586182,-1.5634508979036543,-1.5028586158474262,-0.5888635035705894,-0.723928196506704,-1.2312952693110044,-1.4975128127430746,-1.615794204448677
Illinois,2025,-1.688023470772899,-1.8806100259322875,-2.141357386237113,-1.8714155926506573,,,,,,,,
Iowa,2021,-0.0641099276877371,0.2061736116703484,0.1381444866924255,0.1846246596329307,-0.4540096740965483,-1.0975789973682897,-1.4396209623000773,-1.5452015425095862,-1.480741567625776,-1.688361710012944,-1.035916831582557,-1.110307523144009
Iowa,2022,-1.5297085537751511,-1.6460513436927933,-2.0075884741254364,-1.7952232452496966,-1.6133476483862177,-1.74453960408382,-1.9776963968792232,-2.2761820682148897,-2.4738839266920287,-2.9406226792105103,-3.3195452891079325,-3.2649994030318554
Iowa,2023,-2.7319929288832867,-2.093484876718805,-1.3244307507721855,-1.1771083305298815,-1.605094817911548,-2.2676400753928205,-2.704326613182485,-2.83093108521918,-3.3067774773672203,-3.6362623776338414,-3.464103800243989,-3.851751704403608
Iowa,2024,-3.473186406142857,-2.943819030503998,-3.464782252231324,-3.244635676998296,-2.4899660277557256,-1.631421664464629,-1.022813981136869,-0.6342874307549702,-0.8432802980314293,-1.8511352349713528,-1.995383685051498,-1.5837394564950042
Iowa,2025,-1.5874042783809663,-1.814910213102947,-1.862543876467846,-1.803694286266132,,,,,,,,
New York,2021,-2.213433372095322,-2.215214243381198,-2.3508678563194128,-2.8978539625802644,-2.6669863429495857,-2.6781973913026995,-2.106916665288163,-0.5725072425069871,0.4770227987043918,1.0147197690583112,1.9350520708012728,2.1167430000736545
New York,2022,1.6988147149887014,1.649005416297198,1.8802228848308136,2.0972992024801123,2.1525158397897424,1.8696500678172945,1.4676006914151432,0.7535592519659087,0.4428599688094325,0.6810495401203227,0.1439669911601791,0.0285707086581793
New York,2023,0.4315548978228101,0.7046116282102245,0.5603294341297199,0.5982091933795093,0.6552254076046735,0.1798059219773797,0.4585101142475793,1.379574130807834,1.800678013670319,1.5396440953127857,1.138934919735977,0.9429101865344094
New York,2024,1.527227048607412,1.8979809226645412,1.5596695290095963,1.8808148114454932,1.8643789131077315,1.548253699649917,1.5391918119964632,2.036650598757201,2.421752888483502,1.5717449292393872,0.1551954465587612,-0.3675407845871149
New York,2025,-0.4982722852566597,-0.8603714378600638,-0.6764352860593977,-0.8516909342619245,,,,,,,,
Texas,2021,-1.1554188329114263,-1.14942981101039,-1.2962489995123885,-1.5255141770191556,-1.0566562321372452,0.1640310702990058,1.1196813627026936,2.041361108115445,2.0493683377780822,1.4546385974525218,0.8963866942809762,0.1131045079739234
Texas,2022,-0.80498929353435,-1.26136037822036,-1.6029136284774097,-2.014448273733599,-2.3511409409292945,-2.6494485995486934,-3.04017722019902,-3.2235459780077758,-2.3570475945335896,-2.356549257961446,-2.2638496290257475,-1.7749318513708636
Texas,2023,-1.7680281526112562,-1.69077782850362,-1.722574623756098,-1.7899960570016862,-1.3154106796752765,-0.5804128562414138,-0.5821035101391143,-1.1547134987532892,-1.726035238139421,-1.880335745426679,-1.6954302400670025,-1.4159035723951476
Texas,2024,-1.05459591471381,-0.4196581652840889,-0.3507962052709935,-0.2314103191278177,0.2414701915376237,0.4131646127128189,0.5219407939684779,0.8504832806714485,0.6576417791701364,0.2155636361761242,-0.2400291581777723,0.0071717675242337
Texas,2025,-0.1895266379861679,-0.3464378039879291,-0.7071818334182605,-0.811810600739585,,,,,,,,
